score,y,profit,time,target,code,predcit_time
-3.7688804,-0.0183689,-0.0183689,2025-06-20,2025-06-27,sz.002594,2025-06-27 20:13:38.773216
-3.9132311,0.039024472,0.039024472,2025-06-20,2025-06-27,sz.002600,2025-06-27 20:13:38.773216
-4.078663,0.011889935,0.011889935,2025-06-20,2025-06-27,sz.002601,2025-06-27 20:13:38.773216
-3.9998643,0.06570721,0.06570721,2025-06-20,2025-06-27,sz.002648,2025-06-27 20:13:38.773216
-3.7899575,0.10108304,0.10108304,2025-06-20,2025-06-27,sz.002709,2025-06-27 20:13:38.773216
-4.0886555,0.012534499,0.012534499,2025-06-20,2025-06-27,sz.002714,2025-06-27 20:13:38.773216
-3.964235,0.056159377,0.056159377,2025-06-20,2025-06-27,sz.002736,2025-06-27 20:13:38.773216
-4.0921435,0.04786861,0.04786861,2025-06-20,2025-06-27,sz.002916,2025-06-27 20:13:38.773216
-4.1323237,0.07649386,0.07649386,2025-06-20,2025-06-27,sz.002920,2025-06-27 20:13:38.773216
-4.0564218,0.018874168,0.018874168,2025-06-20,2025-06-27,sz.002938,2025-06-27 20:13:38.773216
-4.170973,0.074655294,0.074655294,2025-06-20,2025-06-27,sz.300014,2025-06-27 20:13:38.773216
-3.633658,0.044687986,0.044687986,2025-06-20,2025-06-27,sz.300015,2025-06-27 20:13:38.773216
-4.5495234,0.19582641,0.19582641,2025-06-20,2025-06-27,sz.300033,2025-06-27 20:13:38.773216
-4.120087,0.11830032,0.11830032,2025-06-20,2025-06-27,sz.300059,2025-06-27 20:13:38.773216
-3.9039192,0.018927455,0.018927455,2025-06-20,2025-06-27,sz.300122,2025-06-27 20:13:38.773216
-4.0196834,0.05998385,0.05998385,2025-06-20,2025-06-27,sz.300124,2025-06-27 20:13:38.773216
-4.4055605,0.028425455,0.028425455,2025-06-20,2025-06-27,sz.300274,2025-06-27 20:13:38.773216
-4.611468,-0.0025482774,-0.0025482774,2025-06-20,2025-06-27,sz.300308,2025-06-27 20:13:38.773216
-3.7984207,0.025779128,0.025779128,2025-06-20,2025-06-27,sz.300316,2025-06-27 20:13:38.773216
-4.275513,0.02559328,0.02559328,2025-06-20,2025-06-27,sz.300347,2025-06-27 20:13:38.773216
-4.5433435,-0.02662003,-0.02662003,2025-06-20,2025-06-27,sz.300394,2025-06-27 20:13:38.773216
-3.6976435,0.015386581,0.015386581,2025-06-20,2025-06-27,sz.300408,2025-06-27 20:13:38.773216
-3.831065,0.019394517,0.019394517,2025-06-20,2025-06-27,sz.300413,2025-06-27 20:13:38.773216
-3.6290445,0.048326015,0.048326015,2025-06-20,2025-06-27,sz.300418,2025-06-27 20:13:38.773216
-3.8104246,0.022450805,0.022450805,2025-06-20,2025-06-27,sz.300433,2025-06-27 20:13:38.773216
-4.1870427,0.08596778,0.08596778,2025-06-20,2025-06-27,sz.300442,2025-06-27 20:13:38.773216
-4.1107697,0.010588169,0.010588169,2025-06-20,2025-06-27,sz.300498,2025-06-27 20:13:38.773216
-4.471875,0.052631617,0.052631617,2025-06-20,2025-06-27,sz.300502,2025-06-27 20:13:38.773216
-4.175241,-0.011107922,-0.011107922,2025-06-20,2025-06-27,sz.300628,2025-06-27 20:13:38.773216
-2.7815201,0.06253648,0.06253648,2025-06-20,2025-06-27,sz.300661,2025-06-27 20:13:38.773216
-4.1821856,0.067593455,0.067593455,2025-06-20,2025-06-27,sz.300750,2025-06-27 20:13:38.773216
-3.8402946,0.011260271,0.011260271,2025-06-20,2025-06-27,sz.300759,2025-06-27 20:13:38.773216
-4.420645,0.0031241179,0.0031241179,2025-06-20,2025-06-27,sz.300760,2025-06-27 20:13:38.773216
-4.1688943,-0.00930661,-0.00930661,2025-06-20,2025-06-27,sz.302132,2025-06-27 20:13:38.773216
